,empresa,cargo,sueldo,ubicación,ultima_actualizacion,detalles
0,Emerson Electric Co,Senior Controls Engineer,-USD,"Lebanon, MO",9 hours ago,"At Emerson, we are innovators and problem-solvers, focused on a common purpose: leaving our world in a better place than we found it. Each and every day, our foundational valuesintegrity, safety and quality, supporting our people, customer focus, continuous improvement, collaboration and innovationinform every decision we make and empower our employees to keep reaching higher. As a global technology and engineering leader, we provide groundbreaking solutions for customers in industrial, commercial, and residential markets. Our Emerson Automation Solutions business helps process, hybrid, and discrete manufacturers maximize production and protect personnel and the environment while optimizing their energy and operating costs. Our Emerson Commercial & Residential Solutions business helps ensure human comfort and health, protect food quality and safety, advance energy efficiency and create sustainable infrastructure.

Emerson, a Fortune 500 company with $15.3 billion in sales and 200 manufacturing locations worldwide, is committed to helping employees grow and thrive throughout their careers.
Whether youre an established professional looking for a career change, an undergraduate student exploring options or a recent MBA graduate, youll find a variety of opportunities at Emerson. Join our team and start your journey today.

If you are aSenior Controls Engineerprofessional looking for an opportunity to grow, Emerson has an exciting opportunity for you! Based in ourLebanon, MO location, you willbe responsible for installing, configuring, and improving equipment controls programs in advanced and highly integrated industrial processes and control systems. This includes but is not limited to Allen Bradley processors, various scanners, camera systems, servos, and Fanuc Robotics.


AS SENIOR CONTROLS ENGINEERYOU WILL:


Maintain and troubleshoot industrial automation systems, including but not limited to AB PLCs (SLC and ControlLogix), HMIs, SCADA systems (plc messaging, middle-ware, and SQL), vision systems, and Fanuc Robotic applications.

Maintain and troubleshoot various types of automation instrumentation and devices such as servo drives,variable frequency drives, barcode readers, and I/O.

Troubleshoot various media and communications issues on Ethernet/IP, DevicNet, and Data Highway.

Help coordinate and implement automation changes for manufacturing on new products.

Collaborate with maintenance personnel to troubleshoot equipment, identify root cause, and implement corrective actions.

Provide technical support and mentoring to maintenance, production engineering, and production personnel as required.

Process improvement skills including the use of 'Lean' tools to drive increased manufacturing productivity, efficiency and safety.
WHO YOU ARE:


You create teamwork allowing others across the organization to achieve shared objectives. You represent own interests while being attentive to others interests as well. You partner with others to get work done. You credit others for their contributions and accomplishments. You achieve gained trust and support of others.You readily distinguish between whats relevant and whats unimportant to make sense of complex situations. You look beyond the obvious and dont stop at the first answers.You analyze multiple and diverse sources of information to define problems accurately before moving to solutions. You readily action new challenges, without unnecessary planning. You identify and seize new opportunities. You display a can-do attitude in good and bad times. You step up to handle tough issues.


REQUIRED EDUCATION, EXPERIENCE & SKILLS:


4 year Technical Degree from an accredited university with 5or more years of related Controls Engineering experience or Associates Degree from a 2 year technical college with 7or more years of related Controls Engineering experience.

Experience with Allen Bradley, Rockwell Automation PLCs and HMI

Experience with Fanuc Robotics

Legal Authorization to work in the United States - Sponsorship will not be provided for this role
PREFERRED EDUCATION, EXPERIENCE & SKILLS:


4 year Technical Degree from an accredited university with 7years of related Controls Engineering experience.
WHY EMERSON?



Our Commitment to Our People


We invest in our employees to ensure they have the marketplace knowledge, skills and competencies to compete and lead in a global economy. Our training programs focus on end-to-end development from onboarding through senior leadership.


Flexible and competitive benefits plans offer you the right options to meet your individual/family needs: medical insurance plans, dental and vision coverage, 401(k), tuition reimbursement, and more. We provide employees flexible time off plans including paid parental leave (maternal and paternal), vacation and holiday leave.


Our success is measured by the positive impact we make on people, our communities and the world in which we live.Learn more about us!.


Our Commitment to Diversity & Inclusion


At Emerson, we are committed to fostering a culture where every employee is valued and respected for their experiences and perspectives. We believe a diverse and inclusive work environment contributes to the rich exchange of ideas that inspires innovation and brings the best solutions to our customers. This philosophy is fundamental to living our companys values and our responsibility to leave the world in a better place.


Diversity and Inclusion at Emerson is about welcoming, respecting, and valuing the differences each employee possesses. Inclusion is creating a real sense of engagement, belonging and connection for all employees. Learn more about ourCulture & Valuesand aboutDiversity & Inclusion at Emerson.


Benefits


Emerson places a high value on ensuring that employees have a good work-life balance. We provide access to a competitive benefits package, including the following: medical insurance, dental and vision coverage, 401k participation with a competitive immediate match, tuition reimbursement, parental leave, and an online wellness rewards program. Immediate vacation and holiday pay available.


Why Work in the Lebanon, MO Area


Our facility in Lebanon, MO is located on Interstate 44 and Historic Route 66 in the scenic Ozarks of South-Central Missouri. We enjoy a small-town community with a Lebanon population of 14,628 and Laclede County population of 36,069. Our area is known for Bennett Spring State Park, lakes, rivers, hunting, and fishing. Lebanon is home to several boat manufacturers and two stock-car racing tracks. Lebanon is also centrally located, just 1 hour from the City of Springfield and 2.5 hours from St. Louis. Why not work and play where you can make your vacation home your Home? We are only 35 minutes from the World-Famous Lake of the Ozarks. For the outdoor enthusiasts, we have Bennett Spring, MO which is an unincorporated community. Home of the Bennett Spring State Park which has the third or fourth largest natural spring in the State with an average daily flow of about 100-million gallons. Bennett Spring is home of Missouris largest trout park featuring fishing, camping, hiking, dining and lodging. We also have the Niangua River which is host to numerous campgrounds, canoes, rafts and kayaks, and is a premier water attraction for outdoor enthusiasts.


About our Location


Our plant in Lebanon, MO is Emersons flagship operation for scroll compressor assembly and a machining powerhouse for main bearing housings and scroll elements. With over 60 million scroll compressors produced in the past 27 years.


Work Authorization


Emerson will only employ those who are legally authorized to work in the United States. This is not a position for which sponsorship will be provided. Individuals with temporary visas such as E, F-1, H-1, H-2, L, B, J, or TN or who need sponsorship for work authorization now or in the future, are not eligible for hire.




Equal Opportunity Employer


Emerson is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, race, color, religion, national origin, age, marital status, political affiliation, sexual orientation, gender identity, genetic information, disability or protected veteran status. We are committed to providing a workplace free of any discrimination or harassment.


If you have a disability and are having difficulty accessing or using this website to apply for a position, you can request help by sending an email toClick here to Apply.


Engineering"
1,Emerson Electric Co,Maintenance Specialist,-USD,"Sidney, OH",9 hours ago,"At Emerson, we are innovators and problem-solvers, focused on a common purpose: leaving our world in a better place than we found it. Each and every day, our foundational valuesintegrity, safety and quality, supporting our people, customer focus, continuous improvement, collaboration and innovationinform every decision we make and empower our employees to keep reaching higher. As a global technology and engineering leader, we provide groundbreaking solutions for customers in industrial, commercial, and residential markets. Our Emerson Automation Solutions business helps process, hybrid, and discrete manufacturers maximize production and protect personnel and the environment while optimizing their energy and operating costs. Our Emerson Commercial & Residential Solutions business helps ensure human comfort and health, protect food quality and safety, advance energy efficiency and create sustainable infrastructure.

Emerson, a Fortune 500 company with $15.3 billion in sales and 200 manufacturing locations worldwide, is committed to helping employees grow and thrive throughout their careers.
Whether youre an established professional looking for a career change, an undergraduate student exploring options or a recent MBA graduate, youll find a variety of opportunities at Emerson. Join our team and start your journey today.

Description


Install, analyze, maintain, and repair all types of mechanical and electrical production equipment including electronic and computer-controlled equipment as found in CNC, automated machinery, and integrated systems. Work closely with Production, Manufacturing Engineering, and other craftspeople to meet requirements fort comprehensive maintenance support. Must be able to perform the duties of both master electrician and master machine repairman classifications.


Details of Duties


Analyze information from work orders, observation of equipment, verbal information from supervisors and operators, manufacturers manuals, schematics, prints, and/or other sources to maintain equipment and diagnose and correct malfunctions. Includes corrective, preventive, and predictive maintenance work.


Performance Requirements


Since work activities involve both electrical and mechanical skills, the individual in this classification must:


Be self-governed and motivated to work on their own with minimum of supervision and assume responsibility for attainment of qualitative standards.

Have the ability to use independent judgment in diagnosing, planning, repairing, and maintaining all types of equipment including the selecting and ordering of the proper tools and materials to complete assignments.

Demonstrate competency in machine repair, electrical trades, and inter-relationship of those disciplines in an industrial environment.

Possess good technical interpretation and communication skills in understanding basic machine design, electrical circuitry, electronics, electro-mechanical devices, CNC operation, and Programmable Logic Controllers including theory and practical application.

Proficient in reading and understanding blueprints, ladder logic, technical specifications, sketches, and verbal instructions.

Be able to use precision measuring instruments, PLC programming terminals, electrical test instruments, and other tools common to both machine repair and electrical trades.

Must be able to train apprentices, master machine repairmen, master electricians, and/or other maintenance specialists in practical application of machine repair and electrical practices.



Requirements


Must hold a Journeyman Electrician or Journeyman Machine Repair License or have 6+ years of experience in the Electrical/Machining trade.

Five years experience in Industrial/Multi-craft maintenance environment with at least 3 years manufacturing experience; or equivalent combination of education and experience.

Prefer experience with PLC's and someone capable of reading Ladder Diagrams.
Work Authorization


No calls or agencies please. Emerson will only employ those who are legally authorized to work in the United States. This is not a position for which sponsorship will be provided. Individuals with temporary visas such as E, F-1, H-1, H-2, L, B, J, or TN or who need sponsorship for work authorization now or in the future, are not eligible for hire.


Equal Opportunity Employer


Emerson is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, race, color, religion, national origin, age, marital status, political affiliation, sexual orientation, gender identity, genetic information, disability or protected veteran status. We are committed to providing a workplace free of any discrimination or harassment.


If you have a disability and are having difficulty accessing or using this website to apply for a position, you can request help by calling 1-314-553-2544 (V/TTY/TDD) or by sending an email to Click here to Apply.


Skilled Worker Jobs"
2,North Carolina State University,IT Systems Administrator II,Depends on Experience,"Raleigh, NC",12 hours ago,"IT Systems Administrator II
NC State University
Office of Information Technology | Raleigh, NC
Position Number 00100635
The Office of Information Technology (OIT) provides a broad range of IT services for all NC State University students, faculty, and staff. The Application Infrastructure Services (AIS) team, in the Middleware Services unit of the Shared Services department within OIT, provides middleware infrastructure and application services on Unix and Windows platforms. The AIS team provides in-depth technical expertise for the ERP application, batch and web services, along with associated infrastructure components, critical to the availability of MyPack Portal, Financials, HR, Student Information Systems, document imaging, reporting tools and many other campus applications. The AIS team also supports the application build and deployment activities of application development and other technical teams.
The Position:
As a member of the Application Infrastructure Services team, the primary purpose of this position is to provide application infrastructure support for the University’s enterprise applications. This position is responsible for resolving technical issues, supporting application development efforts, and participating in planning and project management of application implementations, upgrades and regulatory compliance initiatives at the University. This position uses programming and scripting languages, automation, configuration management and version control tools to provide process automation, needed functionality and increased system availability within the software infrastructure.
The IT Systems Administrator II is responsible for the following:
Install, upgrade and manage application infrastructure solutions and integration technologies that support * University centralized IT services such as MyPack Portal, SIS, Human Resources and Financials applications.
Provide process automation, needed functionality and increased system availability within the software infrastructure using scripting languages and automation tools such as PowerShell, Python, Puppet and Jenkins.
Provide technical expertise required to support application development projects, implementations and upgrades such as Wolf Reports, Sage, Stat, SAS and Visual Analytics.
Implement and maintain appropriate security controls required for regulatory compliance such as PCI-DSS.
Address moderately complex technical and operational issues, participate in an on call rotation, and work extended hours and weekends as necessary in support of the middleware infrastructure and applications.
The successful candidate will possess the following:
Master’s degree and at least one year of relevant experience; or Bachelor’s degree with at least two years’ of relevant experience; or an equivalent combination of education, training and relevant experience.
Must be an experienced Linux and/or Windows server administrator in an enterprise environment able to independently troubleshoot and resolve routine and non-routine issues at the OS and application level.
Ability to write scripts for automation of routine tasks and experience with systems analysis, troubleshooting, and working in a project team environment to implement new processes and platform features are required.
Demonstrated ability to communicate effectively, work independently, and collaboratively as part of a team.
Must be capable of quickly learning new tools and processes, be detail oriented, and possess strong interpersonal, time management and organizational skills.
Interested in joining our team?
To view the full job posting, application instructions, and to submit an application please visit https://jobs.ncsu.edu/postings/141951 or visit http://jobs.ncsu.edu and search for position 00100635.
If you have general questions about the application process, you may contact Human Resources at or call Individuals with disabilities requiring disability-related accommodations in the application and interview process, please call
NC State University is an equal opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, gender identity, age, sexual orientation, genetic information, status as an individual with a disability, or status as a protected veteran.
Final candidates are subject to criminal & sex offender background checks. Some vacancies also require credit or motor vehicle checks. If highest degree is from an institution outside of the U.S., final candidates are required to have their degree equivalency verified at www.wes.org or equivalent service. Degree(s) must be obtained prior to start date in order to meet qualifications and receive credit.
NC State University participates in E-Verify. Federal law requires all employers to verify the identity and employment eligibility of all persons hired to work in the United States."
3,"DHANU GLOBAL ENTERPRISES, INC.",Java Tech lead/Architects(W2 or 1099),$ 43.4-46.5,"Phoenix, AZ",moments ago,"Required skills -
Core Java
Spring MVC
Spring Boot
NO SQL"
4,"DHANU GLOBAL ENTERPRISES, INC.",Senior Business Analyst,$ 43-43,"Bolingbrook, IL",moments ago,"Must have


Hands on experience about processes involved Shopping cart, Checkout process, Promotions, inventory management, ecommerce - Payment processing, Interface and integration


Job Description


Minimum 4 years of strong experience to work with retail or ecommerce customers as a BA

Experience in writing, prioritizing and grooming User stories in product backlog while assisting the product owner.

Hands on experience about processes involved Shopping cart, Checkout process, Promotions, inventory management, ecommerce - Payment processing, Interface and integration

Facilitated various scrum ceremonies such as Sprint Planning, Daily Stand Up, Sprint Review, and Sprint Retrospective.

Hands on experience with creating artifacts like Business Requirement document (BRD), System Requirement document (SRS), Requirement Traceability Matrix (RTM), Functional Specification Document (FSD).

Experience in Design, Development, Implementation and Integration strategies within a team-oriented environment, utilizing quantitative and qualitative analytical skills

Proficiency with using various Microsoft tools such as Visio, Word, Excel, PowerPoint, Publisher for creating business processes workflow.

Worked closely with Product Owner and acted as Proxy product owner in gathering requirements, converting them into User stories and established Acceptance Criteria"
5,"DHANU GLOBAL ENTERPRISES, INC.",Android Automation Engineer,$,"Sacramento, CA",moments ago,"Android Automation Engineer 1 Position
Location: Sacramento, CA
KEY SKILLS UI Automator exp is must
Job description
Utilize the in-house test automation framework to automate the manual test cases for Android & Web applications on CrOS / Mobile platforms.
Extend the test automation framework for specific requirements
Understand the existing manual test cases and be able to quickly translate them to automated test cases.
Implementing best practices, new tools and technology to automate the manual test cases.
Android Game automation"
6,"DHANU GLOBAL ENTERPRISES, INC.",Guidewire Project Manager (100% Remote),$ 60-62,Lancaster Pa;cleveland Oh,moments ago,"5+ Years of Cleveland Manager Experience
2+ Years of Guidewire Project Management Experience (MUST)
Policy Center and Billing Center Experience
Guidewire Systems Integration Experience (MUST)"
7,"DHANU GLOBAL ENTERPRISES, INC.",Snowflake Developer/Lead (100% Remote),$ 57.4-65.6,"Atlanta, GA",moments ago,"Need strong Snowflake Developer with 5-6 years of experience in SQL Development and Data Analysis required to develop a new complex data warehouse.
In-depth knowledge of Azure Cloud services

At least 2 full years of recent Snowflake development experience

Hands-on experience with Snowflake utilities, SnowSQL, SnowPipe,

Able to administer and monitor Snowflake computing platform

Hands on experience with data load and manage cloud DB

Experience in creation and modification of user accounts and security groups per request

Handling large and complex sets of XML, JSON, and CSV from various sources and databases

Solid grasp of database engineering and design

Experience with any scripting languages, preferably Python
Technical Skills:

Snowflake

Experience in some other SQL based databases, like Teradata, Oracle SQL Server etc.
Nice to have:

Scripting with Python

SnowPro Certification

Experience with an ETL tool, like Informatica, Datastage, Matillion etc."
8,Tek Ninjas,Python Developer (100% Remote),$ -,"Dallas, Tx, TX",moments ago,"Major responsibilities include:
Designing and developing complex Single-Page Responsive Web Applications to be used by Engineering and Network Operations teams
Working with Product Management to understand requirements and implement those as a working solution
Working with software developers to integrate the User Interface with backend systems through RESTful APIs
Operationalizing the solution and supporting its lifecycle in production using a DevOps approach and Continuous Integration (CI)
Research new technologies and adopt suitable technologies to solve problem at hand



Requirements:
Bachelors degree in a Computer Science or STEM disciplines is highly desirable
3+ years of software development experience
3+ years of experience full stack developer is highly desirable, though exceptional candidates with lesser experience that consider themselves meeting all the required skills for this job would be considered
Intimate familiarity and experience with Angular 8 or lower is nice to have
Experience of HTML5, CSS, TypeScript, and JavaScript
Asynchronous programming experience to interface with RESTful backend APIs is a must
Experience as a Tech Lead is desirable
Expertise in Python, but will consider candidates with other programming languages like Java, C, C++ if they have some of the other required experiences
Experience with flask, fastapi, asyncio, threading is helpful
Must have experience in Cloud (Kubernetes, Helm, Docker, etc.) and web services architectures and technologies, and design using common opensource components
Must have experience with one or more databases (Postgres, REDIS, MongoDB, Elasticsearch)
Must have experience with a few technologies including GraphQL, JWT, NodeJS
Experience with overall knowledge of GIT repo
Ability to thrive in an agile, fast-paced environment while delivering high quality mission-critical software.

Desirable Qualifications And Skills:
Basic understanding of the Networking concepts is a plus"
9,IT America,Data Modelers Data Engineers,$ 68-68,"New York, Ny, NY",moments ago,"Title : Data Modelers/Data Engineers (Supply Chain)
Loc : NYC, NY.
REach me joem AT ITamerica.com
Experience with Supply chain mandatory.
The Data Modelers/Data Engineers will develop logical and physical data models, mappings, transformations and other rules to meet the needs of the Supply Chain Organization.
The Data Modelers/Data Engineers will collaborate with Subject Matter Experts, Business Analysts, Product Owners and other team members to lead data requirement sessions and present their designs for review. In addition, they will assist in data profiling, track their status, identify and assist in resolving any issues related to the data models, mappings and transformation rules.
Applicants must have knowledge of supply chain processes and data sets related to one or more of the follow functions:
Planning
Sourcing
Manufacturing
Quality
Delivery
Additional Qualifications:
Has worked on relational databases or data lakes.
Strong data modeling skills
Is able to create data transformation source to target mapping.
Is experienced in data analysis, and data profiling.
Has experience with SQL, and use cases for data analysis
Experience with SAP is preferred.
Local to Tristate/Greater NYC area and must be able to work Eastern Standard Time."
